HarbenQuest, NWHarbenQuest
IlluskLock, NWIlluskLock
DEVA, NWDEVA
BallardQuest, NWBallardQuest
DaelanOut, NWDaelanOut
2300DOOR, NW2300DOOR
1100BDOOR, NW1100BDOOR
ZokanHostile, NWZokanHostile
SolomonRing, NWSolomonRing
NyatarQuest, NWNyatarQuest
BeggarsNestDoor, NWBeggarsNestDoor
YvetteQuest, NWYvetteQuest
DeadJanis, NWDeadJanis
JaxQuest, NWJaxQuest
SharwynQuest3, NWSharwynQuest3
KnowKurt, NWKnowKurt
AarinFriend, NWAarinFriend
CorpseHasNwbook35, NWCorpseHasNwbook35
BoddinokOut, NWBoddinokOut
AelaithQuest, NWAelaithQuest
GillesQuest, NWGillesQuest
Siege_Is_Lifted, NWSiege_Is_Lifted
ElynwydQuest, NWElynwydQuest
1100ADOOR, NW1100ADOOR
Bela_Oreth, NWBela_Oreth
TamoraQuest, NWTamoraQuest
1300DOORB, NW1300DOORB
GoblinQuest, NWGoblinQuest
KnowMajor, NWKnowMajor
Golem2_Afraid_of_Fire, NWGolem2_Afraid_of_Fire
TomiQuest3, NWTomiQuest3
PrichevQuest, NWPrichevQuest
Justification, NWJustification
HaerdalinTalk, NWHaerdalinTalk
JaregQuest, NWJaregQuest
AMARCHENEMY, NWAMARCHENEMY
J#CearaFight, NWJ#CearaFight
RolkidQuest, NWRolkidQuest
RevealNW2510, NWRevealNW2510
Golem2_Afraid_of_Slashing, NWGolem2_Afraid_of_Slashing
FindEvaine, NWFindEvaine
DaelanEscape, NWDaelanEscape
KnowHector, NWKnowHector
ElturaQuest, NWElturaQuest
SetaraQuest, NWSetaraQuest
TomiOut, NWTomiOut
JanisQuest, NWJanisQuest
ForgeStuff, NWForgeStuff
BranFraud, NWBranFraud
MoragTimer, NWMoragTimer
BoddinokQuest2, NWBoddinokQuest2
BoneHasScrolln2, NWBoneHasScrolln2
BLACKDRAGONBREATH, NWBLACKDRAGONBREATH
PeninsulaDone, NWPeninsulaDone
BoddinokQuest, NWBoddinokQuest
ToMarrok, NWToMarrok
Charwood_Letter, NWCharwood_Letter
SilverbackTalk, NWSilverbackTalk
Golem2_Afraid_of_Crushing, NWGolem2_Afraid_of_Crushing
Druid1Saved, NWDruid1Saved
AldoQuest, NWAldoQuest
DeceiveNeurrik, NWDeceiveNeurrik
FarmerQuest, NWFarmerQuest
TelmaSecret, NWTelmaSecret
SectSign, NWSectSign
Brainworm, NWBrainworm
BoddinokEscape, NWBoddinokEscape
OleffQuest, NWOleffQuest
In1042Plat2, NWIn1042Plat2
SriritPortal, NWSriritPortal
PriceL, NWPriceL
OleffQuestBreak, NWOleffQuestBreak
TrialBroken, NWTrialBroken
DMWWNoNeutralPrebuff, NWDMWWNoNeutralPrebuff
ZokanJob, NWZokanJob
MakingMedicine, NWMakingMedicine
KnowBandit, NWKnowBandit
EckelJob, NWEckelJob
TalkDreams, NWTalkDreams
ToHelmTempleNWN, NWToHelmTempleNWN
In1042Plat4, NWIn1042Plat4
Golem2_Afraid1_of_Slashing, NWGolem2_Afraid1_of_Slashing
AnimalsDead, NWAnimalsDead
Golem2_Afraid1_of_Crushing, NWGolem2_Afraid1_of_Crushing
Inbodynw, NWInbodynw
LuscanTower, NWLuscanTower
KendrackQuest, NWKendrackQuest
Nw4002Entered, NWNw4002Entered
KnowQuint, NWKnowQuint
Nwspmep, NWNwspmep
HaedralinJob, NWHaedralinJob
NextRaundNW, NWNextRaundNW
TomiReleased, NWTomiReleased
LillianJob, NWLillianJob
In1042Plat3, NWIn1042Plat3
CultInLuskan, NWCultInLuskan
KurtQuest, NWKurtQuest
Druid3Saved, NWDruid3Saved
DMWWTimeStopRunning, NWDMWWTimeStopRunning
BoddinokReleased, NWBoddinokReleased
PankinSecret, NWPankinSecret
KurtOuest, NWKurtOuest
GrimgnawExist, NWGrimgnawExist
HoffScared, NWHoffScared
GethFraud, NWGethFraud
TomiExist, NWTomiExist
GoToLuskan, NWGoToLuskan
OphalaQuest, NWOphalaQuest
ErbQuest, NWErbQuest
AvericTalk, NWAvericTalk
Portal2510, NWPortal2510
KnowBaram, NWKnowBaram
Chapter, NWChapter
